keyword,search_volume,bid_low_range,bid_high_range,competition
ai agency,90500,$0.35,$21.56,Medium
agency ai,90500,$0.35,$21.56,Medium
ai tools,74000,$0.69,$7.34,Medium
ai for business,27100,$0.21,$1.33,Medium
ai and business,27100,$0.21,$1.33,Medium
ai in businesses,27100,$0.21,$1.33,Medium
business of ai,27100,$0.21,$1.33,Medium
ai company,22200,$2.00,$7.07,Medium
ai for sales and marketing,22200,$8.54,$46.84,Low
ai in sales and marketing,22200,$8.54,$46.84,Low
ai in company,22200,$2.00,$7.07,Medium
ai for marketing,18100,$0.42,$20.42,Medium
ai and marketing,18100,$0.42,$20.42,Medium
ai customer service,18100,$0.19,$17.90,Low
ai and customer service,18100,$0.19,$17.90,Low
ai customer care,18100,$0.19,$17.90,Low
ai for customer care,18100,$0.19,$17.90,Low
ai platforms,14800,$0.83,$10.78,Medium
ai technologies in business,12100,$0.17,$1.09,Low
ai for marketing campaigns,9900,$0.26,$0.67,Low
ai sales,9900,$0.18,$1.11,Medium
ai and sales,9900,$0.18,$1.11,Medium
ai advertising,8100,$3.04,$21.97,Medium
top ai companies,8100,$1.29,$6.55,Low
best ai company,8100,$1.29,$6.55,Low
