keyword,search_volume,bid_low_range,bid_high_range,competition
customer retention management software,135000,$2.86,$40.00,Low
business management software,74000,$0.26,$0.85,Low
company management software,74000,$0.26,$0.85,Low
marketing tools,33100,$0.25,$14.12,Low
small business management software,33100,$0.33,$1.78,Low
ai for business,27100,$0.21,$1.33,Medium
artificial intelligence in business,27100,$0.21,$1.33,Medium
marketing tools for business,27100,$0.49,$1.75,Low
ai and business,27100,$0.21,$1.33,Medium
ai for sales and marketing,22200,$8.54,$46.84,Low
artificial intelligence in sales and marketing,22200,$8.54,$46.84,Low
ai for companies,22200,$2.00,$7.07,Medium
ai in marketing,18100,$0.42,$20.42,Medium
ai and marketing,18100,$0.42,$20.42,Medium
ai customer service,18100,$0.19,$17.90,Low
marketing software,18100,$0.22,$1.22,Low
ai and customer service,18100,$0.19,$17.90,Low
artificial intelligence and customer service,18100,$0.19,$17.90,Low
crm software for digital marketing,18100,$0.41,$0.73,Low
customer service artificial intelligence,18100,$0.19,$17.90,Low
artificial intelligence and marketing,18100,$0.42,$20.42,Medium
ai customer care,18100,$0.19,$17.90,Low
customer care ai,18100,$0.19,$17.90,Low
ai for customer care,18100,$0.19,$17.90,Low
blaze ai,18100,$2.50,$18.27,Medium
