keyword,search_volume,bid_low_range,bid_high_range,competition
digital marketing,368000,$0.54,$8.01,Medium
marketing digital marketing,368000,$0.54,$8.01,Medium
marketing and digital marketing,368000,$0.54,$8.01,Medium
digital marketing marketing,368000,$0.54,$8.01,Medium
digital and marketing,368000,$0.54,$8.01,Medium
digital marketing agency,110000,$0.23,$6.96,Low
instagram for business,90500,$2.64,$33.22,Medium
social media marketing,74000,$0.56,$10.60,Low
smm marketing,74000,$0.56,$10.60,Low
social media and marketing,74000,$0.56,$10.60,Low
marketing through social media,74000,$0.56,$10.60,Low
digital marketing company,49500,$0.23,$6.00,Low
marketing agency near me,49500,$0.32,$15.31,Low
marketing content,49500,$1.42,$16.86,Low
digital marketing firm,49500,$0.23,$6.00,Low
online digital marketing,40500,$0.80,$2.93,Medium
marketing tools,33100,$0.25,$14.12,Low
marketing tools for business,27100,$0.49,$1.75,Low
digital digital marketing,27100,$0.99,$9.92,Medium
digital marketing services,22200,$0.32,$2.15,Low
digital marketing near me,22200,$0.22,$10.96,Low
social media marketing tips,22200,$0.26,$0.61,Low
online marketer,22200,$0.52,$7.76,Low
digital marketing business,18100,$0.23,$0.57,Low
digital marketing and advertising,18100,$0.23,$0.57,Low
